 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Piauí
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Total"
"220020 Água Branca";0;0;0;1;1
"220040 Altos";0;0;0;1;1
"220120 Barras";0;0;0;5;5
"220160 Beneditinos";0;0;0;1;1
"220200 Buriti dos Lopes";1;0;0;2;3
"220205 Cabeceiras do Piauí";1;0;0;0;1
"220220 Campo Maior";0;0;0;2;2
"220271 Cocal de Telha";0;0;0;1;1
"220310 Cristino Castro";0;0;0;1;1
"220330 Demerval Lobão";0;0;0;2;2
"220335 Dirceu Arcoverde";0;0;0;1;1
"220345 Dom Inocêncio";1;0;0;0;1
"220370 Esperantina";0;0;0;1;1
"220390 Floriano";0;0;0;19;19
"220465 Ilha Grande";0;1;0;0;1
"220480 Ipiranga do Piauí";0;0;0;1;1
"220550 José de Freitas";0;0;0;1;1
"220554 Lagoinha do Piauí";0;0;0;1;1
"220610 Matias Olímpio";1;0;0;1;2
"220700 Oeiras";0;1;0;2;3
"220710 Olho D'Água do Piauí";0;0;0;1;1
"220720 Padre Marcos";1;0;0;1;2
"220770 Parnaíba";3;0;1;12;16
"220800 Picos";3;3;0;23;29
"220820 Pio IX";0;0;0;1;1
"220840 Piripiri";0;0;0;9;9
"220850 Porto";0;0;1;0;1
"220880 Regeneração";0;0;0;1;1
"220935 Santana do Piauí";0;0;0;1;1
"220980 São Gonçalo do Piauí";0;0;0;1;1
"221060 São Raimundo Nonato";0;0;0;2;2
"221065 Sigefredo Pacheco";0;0;0;1;1
"221100 Teresina";22;5;4;181;212
"221110 União";1;0;0;0;1
"221130 Valença do Piauí";0;0;0;1;1
"Total";34;10;6;278;328
