 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2020
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"250050 Alagoinha";1;0;0;0;0;0;1
"250060 Alhandra";0;0;0;1;0;0;1
"250090 Arara";1;0;1;0;0;0;2
"250180 Bayeux";1;1;2;10;0;0;14
"250190 Belém";1;0;0;0;0;0;1
"250215 Boa Vista";0;0;0;1;0;0;1
"250230 Bom Sucesso";0;0;0;1;0;0;1
"250250 Boqueirão";0;0;0;1;0;0;1
"250280 Brejo do Cruz";0;1;0;0;0;0;1
"250300 Caaporã";0;0;1;3;0;0;4
"250320 Cabedelo";3;0;1;9;0;0;13
"250350 Cacimba de Dentro";0;0;0;1;0;0;1
"250370 Cajazeiras";2;0;0;2;0;0;4
"250400 Campina Grande";13;1;1;23;1;0;39
"250430 Catolé do Rocha";0;0;0;2;0;0;2
"250435 Caturité";1;0;0;0;0;0;1
"250460 Conde";0;1;0;4;0;0;5
"250490 Cruz do Espírito Santo";0;0;0;2;0;0;2
"250510 Cuité";0;0;0;2;0;0;2
"250600 Esperança";0;0;0;1;0;0;1
"250625 Gado Bravo";1;0;0;0;0;0;1
"250630 Guarabira";1;0;0;2;0;0;3
"250640 Gurinhém";0;0;0;2;0;0;2
"250690 Itabaiana";0;0;0;1;0;0;1
"250710 Itapororoca";0;0;0;1;0;0;1
"250730 Jacaraú";1;0;0;0;0;0;1
"250750 João Pessoa";82;6;5;196;0;3;292
"250790 Juripiranga";0;1;0;3;0;0;4
"250860 Lucena";0;1;0;0;0;0;1
"250890 Mamanguape";1;0;0;6;0;0;7
"250910 Mari";2;0;0;3;0;0;5
"250920 Massaranduba";0;0;0;1;0;0;1
"250940 Mogeiro";1;0;0;0;0;0;1
"250970 Monteiro";0;0;0;2;0;0;2
"251040 Olho d'Água";0;0;0;1;0;0;1
"251080 Patos";4;0;1;5;0;0;10
"251090 Paulista";1;0;0;0;0;0;1
"251120 Pedras de Fogo";1;0;0;4;0;0;5
"251140 Picuí";1;0;0;1;0;0;2
"251150 Pilar";0;0;0;2;0;0;2
"251180 Pirpirituba";0;0;0;1;0;0;1
"251190 Pitimbu";0;0;1;0;0;0;1
"251200 Pocinhos";1;0;0;0;0;0;1
"251210 Pombal";2;0;0;6;0;0;8
"251250 Queimadas";1;0;0;3;0;0;4
"251274 Riachão";1;0;0;1;0;0;2
"251290 Rio Tinto";0;0;0;2;0;0;2
"251370 Santa Rita";3;0;2;12;0;0;17
"251350 Santana de Mangueira";0;0;0;1;0;0;1
"251360 Santana dos Garrotes";0;0;0;1;0;0;1
"251390 São Bento";1;0;0;1;0;0;2
"251400 São João do Cariri";0;0;0;1;0;0;1
"250070 São João do Rio do Peixe";0;0;0;1;0;0;1
"251510 São Sebastião de Lagoa de Roça";0;0;0;2;0;0;2
"251530 Sapé";0;0;0;1;0;0;1
"251540 Seridó";0;0;0;1;0;0;1
"251550 Serra Branca";0;0;0;1;0;0;1
"251620 Sousa";0;1;0;4;0;0;5
"251670 Teixeira";1;0;0;0;0;0;1
"Total";129;13;15;332;1;3;493
