 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"270030 Arapiraca";0;0;0;0;16;11;13;0;2;1;43
"270040 Atalaia";0;0;0;0;0;1;1;0;0;0;2
"270050 Barra de Santo Antônio";0;0;0;0;1;0;2;0;0;0;3
"270070 Batalha";0;0;0;0;1;0;0;0;0;0;1
"270080 Belém";0;0;0;0;0;1;0;0;0;0;1
"270100 Boca da Mata";0;0;0;0;0;1;0;0;0;0;1
"270110 Branquinha";0;0;0;0;0;1;1;0;0;0;2
"270120 Cacimbinhas";0;0;0;0;0;0;1;0;0;0;1
"270130 Cajueiro";0;0;0;0;1;0;0;0;0;0;1
"270140 Campo Alegre";0;0;0;0;1;0;0;0;1;0;2
"270160 Canapi";0;0;0;0;0;0;1;0;0;0;1
"270170 Capela";0;1;0;0;1;1;0;1;0;0;4
"270220 Coqueiro Seco";0;0;0;0;1;0;0;0;0;0;1
"270230 Coruripe";0;0;0;0;0;1;0;1;1;0;3
"270240 Delmiro Gouveia";0;0;0;0;0;2;1;1;0;0;4
"270270 Feliz Deserto";0;0;0;0;0;1;0;0;0;0;1
"270280 Flexeiras";0;0;0;0;0;2;0;0;0;2;4
"270290 Girau do Ponciano";0;0;0;0;0;1;1;0;0;0;2
"270330 Inhapi";0;0;0;0;1;0;0;0;0;0;1
"270375 Jequiá da Praia";0;0;0;0;0;0;1;0;0;0;1
"270380 Joaquim Gomes";0;0;0;0;1;0;0;0;0;0;1
"270400 Junqueiro";0;0;0;0;0;0;0;1;0;0;1
"270430 Maceió";2;1;1;10;123;84;101;41;24;4;391
"270450 Maragogi";0;0;0;1;1;4;1;0;0;0;7
"270460 Maravilha";0;0;0;0;1;0;0;0;0;0;1
"270470 Marechal Deodoro";0;0;0;0;0;2;1;2;1;0;6
"270480 Maribondo";0;0;0;0;0;0;1;0;0;0;1
"270500 Mata Grande";0;0;0;0;1;0;0;0;0;0;1
"270510 Matriz de Camaragibe";0;0;0;0;1;2;1;0;0;0;4
"270520 Messias";0;0;0;0;0;0;2;0;0;0;2
"270550 Murici";0;0;0;0;0;2;1;0;1;0;4
"270560 Novo Lino";0;0;0;0;0;1;0;1;0;0;2
"270570 Olho d'Água das Flores";0;0;0;0;2;0;0;0;0;0;2
"270630 Palmeira dos Índios";0;0;0;0;4;6;4;0;3;1;18
"270640 Pão de Açúcar";0;0;0;0;1;0;1;0;0;0;2
"270644 Paripueira";0;0;0;0;1;1;1;0;0;0;3
"270670 Penedo";0;0;0;0;1;1;2;1;0;0;5
"270680 Piaçabuçu";0;0;0;0;1;0;0;1;0;0;2
"270690 Pilar";0;0;0;0;1;1;3;0;0;0;5
"270710 Piranhas";0;0;0;0;0;1;0;1;0;0;2
"270730 Porto Calvo";0;0;0;0;2;0;2;1;0;0;5
"270740 Porto de Pedras";0;0;0;0;1;0;1;0;0;0;2
"270770 Rio Largo";0;0;0;1;1;4;2;2;4;0;14
"270780 Roteiro";0;0;0;0;0;0;1;0;0;0;1
"270790 Santa Luzia do Norte";0;0;0;0;1;0;0;0;0;0;1
"270800 Santana do Ipanema";0;0;0;1;0;1;0;0;0;0;2
"270810 Santana do Mundaú";0;0;0;0;0;0;1;0;0;0;1
"270820 São Brás";0;0;0;0;0;0;0;1;0;0;1
"270830 São José da Laje";0;0;0;0;0;0;0;0;0;1;1
"270840 São José da Tapera";0;0;0;0;0;1;0;0;0;0;1
"270850 São Luís do Quitunde";0;0;0;0;0;0;0;0;0;1;1
"270860 São Miguel dos Campos";0;0;0;0;1;1;0;3;1;0;6
"270870 São Miguel dos Milagres";0;0;0;0;0;2;0;1;0;0;3
"270880 São Sebastião";0;0;0;0;0;1;0;0;0;0;1
"270890 Satuba";0;0;0;0;0;2;1;0;0;0;3
"270910 Taquarana";0;0;0;0;0;0;0;2;0;0;2
"270915 Teotônio Vilela";0;0;0;0;1;0;3;2;0;0;6
"270930 União dos Palmares";0;0;0;0;0;1;1;1;1;0;4
"270940 Viçosa";0;0;0;0;0;0;0;1;0;0;1
"Total";2;2;1;13;169;141;153;65;39;10;595
